[Fri Jun 13 10:57:06.360503 2025] [php:error] [pid 3718855] [client 172.71.241.117:22226] PHP Fatal error:  Cannot redeclare App\\Http\\Controllers\\ViewController\\SitemapController::sitemapManufacturerModels() in /var/www/demositegarage/app/Http/Controllers/ViewController/SitemapController.php on line 223
[Fri Jun 13 10:57:08.736791 2025] [php:error] [pid 3718828] [client 172.69.224.194:65252] PHP Fatal error:  Cannot redeclare App\\Http\\Controllers\\ViewController\\SitemapController::sitemapManufacturerModels() in /var/www/demositegarage/app/Http/Controllers/ViewController/SitemapController.php on line 223
[Fri Jun 13 11:42:18.478077 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 11:42:18.480125 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 11:42:22.820023 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 11:42:22.821925 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 11:42:26.898885 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 11:42:26.900158 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 11:42:27.014268 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 11:42:27.016116 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 12:05:00.193488 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 12:05:00.194774 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 12:05:04.593661 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 12:05:04.595051 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 12:05:07.663381 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 12:05:07.665114 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 12:05:12.101212 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 12:05:12.102904 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.co.uk:443:0 server certificate does NOT include an ID which matches the server name
[Fri Jun 13 17:19:25.533078 2025] [ssl:warn] [pid 3621509] AH01909: digitalideasltd.in:443:0 server certificate does NOT include an ID which matches the server name
